iter	Logloss
0	0.6773310067
1	0.6632559945
2	0.6497324667
3	0.6353161815
4	0.6259049036
5	0.6167429493
6	0.6109533606
7	0.6053848435
8	0.6008716515
9	0.5963721706
10	0.5925452769
11	0.58901507
12	0.5856321622
13	0.5823558517
14	0.5799975539
15	0.5776730864
16	0.5764116687
17	0.5747842061
18	0.5725978681
19	0.5706174192
20	0.5687160514
21	0.567417906
22	0.5655637554
23	0.5637539852
24	0.5627946427
25	0.5615218578
26	0.560403999
27	0.5591258488
28	0.5580963041
29	0.5572771679
30	0.5561483705
31	0.5547972661
32	0.5540552492
33	0.5530166461
34	0.552499121
35	0.5512910788
36	0.5501607077
37	0.5491218401
38	0.5481653084
39	0.5473921093
40	0.5467424256
41	0.5456456087
42	0.5449395042
43	0.544325828
44	0.5436466546
45	0.5430396408
46	0.5424956483
47	0.5417751027
48	0.5411077831
49	0.5405323224
50	0.5399505608
51	0.5394178848
52	0.5385965067
53	0.5377975695
54	0.5369658155
55	0.5359510714
56	0.5351870498
57	0.5343785761
58	0.5337313677
59	0.5331001888
60	0.5320163925
61	0.5311410419
62	0.530473583
63	0.5299376689
64	0.5288083546
65	0.5281054848
66	0.5272563675
67	0.5263721589
68	0.5258026454
69	0.5252582702
70	0.5246414871
71	0.5238827973
72	0.5238395519
73	0.5233485349
74	0.5226523905
75	0.5220911382
76	0.5213949133
77	0.5209402459
78	0.5199191387
79	0.5194263513
80	0.5187080801
81	0.5179842598
82	0.517318551
83	0.5165261755
84	0.5157753137
85	0.5150889104
86	0.5144868628
87	0.5137680702
88	0.5130751553
89	0.5125038067
90	0.5118862908
91	0.5111957578
92	0.5107381995
93	0.5103346264
94	0.5096358593
95	0.5092419498
96	0.5085178854
97	0.5076943948
98	0.5070478751
99	0.5064000571
100	0.5059482416
101	0.5051415775
102	0.5040236608
103	0.5032247051
104	0.502626671
105	0.5018252603
106	0.501054298
107	0.500180609
108	0.4996990754
109	0.4990547373
110	0.4984989177
111	0.4977543762
112	0.4969513911
113	0.4962116783
114	0.4956160634
115	0.4948247657
116	0.4942442219
117	0.4938062762
118	0.4931710628
119	0.4925318872
120	0.491591885
121	0.4908467654
122	0.4900989379
123	0.4893968842
124	0.4886527182
125	0.4880429957
126	0.4872960228
127	0.4867710051
128	0.4862788182
129	0.4854993235
130	0.4846086886
131	0.4837155495
132	0.4828880947
133	0.4822926204
134	0.4815600377
135	0.4808654259
136	0.4805061257
137	0.4796316408
138	0.4789629421
139	0.4781829035
140	0.477841987
141	0.476935613
142	0.4760156834
143	0.4751410414
144	0.4742684822
145	0.4737070153
146	0.4730968459
147	0.4725169948
148	0.4719249431
149	0.4710843898
150	0.4705135752
151	0.4699832288
152	0.4692495823
153	0.4685902801
154	0.4683258724
155	0.4677985053
156	0.4668978603
157	0.4660543746
158	0.465587552
159	0.4647893908
160	0.4643287938
161	0.4638911253
162	0.463330804
163	0.4625998193
164	0.4618974787
165	0.461069297
166	0.4606366561
167	0.4599549902
168	0.4590339916
169	0.4583283813
170	0.4578348572
171	0.4570993898
172	0.4562210369
173	0.4555250408
174	0.4550033001
175	0.4544678168
176	0.4537934707
177	0.4531215558
178	0.4527744031
179	0.4522081593
180	0.4514885532
181	0.4506775404
182	0.4501343349
183	0.4493172771
184	0.4485357608
185	0.4479646642
186	0.4473955548
187	0.4469935534
188	0.4464768882
189	0.445786566
190	0.445290937
191	0.444731634
192	0.4443469933
193	0.4436873781
194	0.4433056966
195	0.4427642718
196	0.4420717821
197	0.4418368439
198	0.4412692313
199	0.4405983677
