iter	Passed	Remaining
0	21	4275
1	31	3103
2	38	2514
3	43	2147
4	47	1862
5	52	1686
6	56	1565
7	61	1468
8	65	1386
9	70	1330
10	74	1276
11	78	1233
12	83	1195
13	87	1164
14	92	1137
15	96	1108
16	99	1066
17	103	1048
18	108	1031
19	113	1022
20	118	1008
21	122	991
22	126	975
23	131	962
24	135	948
25	139	934
26	143	921
27	148	910
28	152	898
29	156	887
30	160	876
31	165	867
32	169	857
33	173	847
34	177	839
35	182	831
36	186	822
37	191	815
38	195	808
39	200	800
40	204	792
41	208	783
42	212	776
43	216	768
44	221	761
45	225	754
46	229	747
47	233	740
48	237	733
49	242	728
50	247	721
51	251	714
52	255	708
53	259	702
54	264	697
55	268	691
56	273	686
57	278	680
58	282	674
59	286	668
60	290	663
61	295	656
62	299	650
63	303	645
64	307	639
65	312	633
66	316	628
67	321	623
68	325	618
69	330	613
70	343	624
71	348	619
72	351	610
73	356	606
74	361	601
75	365	596
76	370	591
77	374	585
78	378	579
79	382	573
80	386	568
81	390	562
82	395	557
83	399	552
84	403	546
85	407	540
86	412	535
87	416	530
88	420	524
89	424	519
90	428	513
91	433	508
92	437	503
93	441	498
94	446	493
95	450	488
96	455	483
97	460	479
98	464	473
99	468	468
100	473	463
101	477	458
102	481	453
103	485	448
104	489	443
105	494	438
106	498	433
107	503	428
108	507	423
109	511	418
110	515	413
111	519	408
112	523	403
113	527	398
114	532	393
115	536	388
116	540	383
117	544	378
118	548	373
119	553	368
120	557	363
121	561	358
122	565	354
123	569	349
124	574	344
125	578	339
126	582	334
127	586	329
128	590	325
129	595	320
130	599	315
131	603	310
132	607	306
133	611	301
134	616	296
135	620	292
136	625	287
137	629	282
138	634	278
139	638	273
140	642	269
141	647	264
142	651	259
143	655	254
144	659	250
145	664	245
146	668	240
147	672	236
148	676	231
149	680	226
150	684	222
151	689	217
152	693	213
153	697	208
154	701	203
155	705	199
156	709	194
157	714	189
158	718	185
159	722	180
160	726	176
161	730	171
162	734	166
163	739	162
164	743	157
165	747	153
166	751	148
167	755	143
168	760	139
169	766	135
170	770	130
171	774	126
172	778	121
173	783	117
174	787	112
175	791	107
176	796	103
177	800	98
178	805	94
179	809	89
180	816	85
181	820	81
182	825	76
183	829	72
184	833	67
185	838	63
186	842	58
187	846	54
188	851	49
189	855	45
190	859	40
191	863	35
192	868	31
193	872	26
194	876	22
195	880	17
196	885	13
197	889	8
198	894	4
199	898	0
